   Module\rCode  Vacancy  Demand
1        CN4118     24.0     1.0
2        CN4122     11.0     1.0
3       CN4123R     58.0     5.0
4       CN4221R      3.0    16.0
5       CN4223R     25.0     8.0
6       CN4227R      4.0    10.0
7       CN4238R     31.0     3.0
8       CN4247R     23.0     2.0
9        CN4248     17.0     4.0
10       CN4251      1.0    14.0
11       CN5111     21.0     3.0
12       CN5173     10.0     2.0
13       CN5191      2.0     7.0
14       CN5246      3.0     2.0
15       CN5432     16.0     3.0
16       CE2155      3.0     1.0
17       CE3115     26.0     5.0
